,date,benchmark,bench_return
118,2015-06-23,S&P 500,0.0007193606299999999
119,2015-06-24,S&P 500,-0.0073218585099999985
120,2015-06-25,S&P 500,-0.0029338448300000003
121,2015-06-26,S&P 500,-0.00021286552000000003
122,2015-06-29,S&P 500,-0.02076705283
123,2015-06-30,S&P 500,0.00271922323
124,2015-07-01,S&P 500,0.0071813313
125,2015-07-02,S&P 500,-0.00031223349
126,2015-07-06,S&P 500,-0.00382855248
127,2015-07-07,S&P 500,0.0060915108600000005
128,2015-07-08,S&P 500,-0.0163582702
129,2015-07-09,S&P 500,0.0022685156
130,2015-07-10,S&P 500,0.01233698338
131,2015-07-13,S&P 500,0.01115685338
132,2015-07-14,S&P 500,0.00446068998
133,2015-07-15,S&P 500,-0.0007199777
134,2015-07-16,S&P 500,0.00803922203
135,2015-07-17,S&P 500,0.00110977711
136,2015-07-20,S&P 500,0.0007952997099999999
137,2015-07-21,S&P 500,-0.00422514056
138,2015-07-22,S&P 500,-0.0022832802300000003
139,2015-07-23,S&P 500,-0.00561125336
140,2015-07-24,S&P 500,-0.01069865288
141,2015-07-27,S&P 500,-0.00577179682
142,2015-07-28,S&P 500,0.012392672
143,2015-07-29,S&P 500,0.007441917629999999
144,2015-07-30,S&P 500,0.00010992087
145,2015-07-31,S&P 500,-0.00226286394
146,2015-08-03,S&P 500,-0.00275438133
147,2015-08-04,S&P 500,-0.00222103296
148,2015-08-05,S&P 500,0.00349524064
149,2015-08-06,S&P 500,-0.007473246550000001
150,2015-08-07,S&P 500,-0.0028388112900000003
151,2015-08-10,S&P 500,0.012833021699999999
152,2015-08-11,S&P 500,-0.00937336129
153,2015-08-12,S&P 500,0.0011801015
154,2015-08-13,S&P 500,-0.0011226433400000002
155,2015-08-14,S&P 500,0.003917124629999999
156,2015-08-17,S&P 500,0.00539932439
157,2015-08-18,S&P 500,-0.00243721609
158,2015-08-19,S&P 500,-0.008189921740000002
159,2015-08-20,S&P 500,-0.021097235640000003
160,2015-08-21,S&P 500,-0.03169440049
161,2015-08-24,S&P 500,-0.039386090410000005
162,2015-08-25,S&P 500,-0.01351121753
163,2015-08-26,S&P 500,0.039115726600000005
164,2015-08-27,S&P 500,0.02440290496
165,2015-08-28,S&P 500,0.0007324231699999999
166,2015-08-31,S&P 500,-0.00827547805
167,2015-09-01,S&P 500,-0.02952841718
168,2015-09-02,S&P 500,0.01846401071
169,2015-09-03,S&P 500,0.0012179048
170,2015-09-04,S&P 500,-0.015249772880000003
171,2015-09-08,S&P 500,0.025203211119999996
172,2015-09-09,S&P 500,-0.013813091719999998
173,2015-09-10,S&P 500,0.00536185512
174,2015-09-11,S&P 500,0.0047977954
175,2015-09-14,S&P 500,-0.00402681831
176,2015-09-15,S&P 500,0.012844832530000001
177,2015-09-16,S&P 500,0.00874532483
178,2015-09-17,S&P 500,-0.00239536084
179,2015-09-18,S&P 500,-0.01615644925
180,2015-09-21,S&P 500,0.00457578779
181,2015-09-22,S&P 500,-0.01229128097
182,2015-09-23,S&P 500,-0.00199922074
183,2015-09-24,S&P 500,-0.00336200195
184,2015-09-25,S&P 500,-0.00046246182
185,2015-09-28,S&P 500,-0.0253769818
186,2015-09-29,S&P 500,0.00128953867
187,2015-09-30,S&P 500,0.01913898883
188,2015-10-01,S&P 500,0.00204475193
189,2015-10-02,S&P 500,0.01441436821
190,2015-10-05,S&P 500,0.01834313111
191,2015-10-06,S&P 500,-0.00359155068
192,2015-10-07,S&P 500,0.00842580833
193,2015-10-08,S&P 500,0.008823250940000001
194,2015-10-09,S&P 500,0.00075664734
195,2015-10-12,S&P 500,0.0012723152199999998
196,2015-10-13,S&P 500,-0.00672709517
197,2015-10-14,S&P 500,-0.0046584218
198,2015-10-15,S&P 500,0.014906299469999999
199,2015-10-16,S&P 500,0.00456978486
200,2015-10-19,S&P 500,0.00028694659
201,2015-10-20,S&P 500,-0.00139722538
202,2015-10-21,S&P 500,-0.00569589122
203,2015-10-22,S&P 500,0.016653506619999998
204,2015-10-23,S&P 500,0.01103608784
205,2015-10-26,S&P 500,-0.00190563164
206,2015-10-27,S&P 500,-0.00255372689
207,2015-10-28,S&P 500,0.01193679104
208,2015-10-29,S&P 500,-0.00033774703999999995
209,2015-10-30,S&P 500,-0.00480881059
210,2015-11-02,S&P 500,0.01187531263
211,2015-11-03,S&P 500,0.0027439229100000005
212,2015-11-04,S&P 500,-0.00319012308
213,2015-11-05,S&P 500,-0.00092645189
214,2015-11-06,S&P 500,-0.00023278325
215,2015-11-09,S&P 500,-0.009616784609999998
216,2015-11-10,S&P 500,0.00176967095
217,2015-11-11,S&P 500,-0.0032252313699999997
218,2015-11-12,S&P 500,-0.013811388580000002
219,2015-11-13,S&P 500,-0.01119687698
220,2015-11-16,S&P 500,0.01507884345
221,2015-11-17,S&P 500,-0.00112741427
222,2015-11-18,S&P 500,0.016245150219999997
223,2015-11-19,S&P 500,-0.00108136037
224,2015-11-20,S&P 500,0.00396475538
225,2015-11-23,S&P 500,-0.00119338886
226,2015-11-24,S&P 500,0.0012495444
227,2015-11-25,S&P 500,-2.3523600000000003e-05
228,2015-11-27,S&P 500,0.00081296075
229,2015-11-30,S&P 500,-0.00458884715
230,2015-12-01,S&P 500,0.01076152949
231,2015-12-02,S&P 500,-0.01076413458
232,2015-12-03,S&P 500,-0.01433275614
233,2015-12-04,S&P 500,0.0205336516
234,2015-12-07,S&P 500,-0.006915641590000001
235,2015-12-08,S&P 500,-0.006402069529999999
236,2015-12-09,S&P 500,-0.007674559540000001
237,2015-12-10,S&P 500,0.00236151408
238,2015-12-11,S&P 500,-0.01926542162
239,2015-12-14,S&P 500,0.004822660560000001
240,2015-12-15,S&P 500,0.010627043409999998
241,2015-12-16,S&P 500,0.0146066442
242,2015-12-17,S&P 500,-0.01488713
243,2015-12-18,S&P 500,-0.017796358069999997
244,2015-12-21,S&P 500,0.007897335529999999
245,2015-12-22,S&P 500,0.0089199598
246,2015-12-23,S&P 500,0.01249820492
247,2015-12-24,S&P 500,-0.00159665539
248,2015-12-28,S&P 500,-0.00217499984
249,2015-12-29,S&P 500,0.01082664614
250,2015-12-30,S&P 500,-0.00711698422
251,2015-12-31,S&P 500,-0.00940818536
252,2016-01-04,S&P 500,-0.015076546809999999
253,2016-01-05,S&P 500,0.0020147747600000004
254,2016-01-06,S&P 500,-0.012761583929999999
255,2016-01-07,S&P 500,-0.0236733175
256,2016-01-08,S&P 500,-0.010834627490000002
257,2016-01-11,S&P 500,0.0008532773099999999
258,2016-01-12,S&P 500,0.007804881590000001
259,2016-01-13,S&P 500,-0.024853275240000004
260,2016-01-14,S&P 500,0.01671226847
261,2016-01-15,S&P 500,-0.02155627017
262,2016-01-19,S&P 500,0.00053735956
263,2016-01-20,S&P 500,-0.01154750236
264,2016-01-21,S&P 500,0.00522619067
265,2016-01-22,S&P 500,0.02028787395
266,2016-01-25,S&P 500,-0.01563320676
